Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
MIN,AL,1969,790,618,97,0.34,0.408,0.268,1,3,3,162,,
MON,NL,1969,582,791,52,0.31,0.359,0.24,0,,,162,,
NYM,NL,1969,632,541,100,0.311,0.351,0.242,1,2,1,162,,
NYY,AL,1969,562,587,80,0.308,0.344,0.235,0,,,162,,
OAK,AL,1969,740,678,88,0.329,0.376,0.249,0,,,162,,
PHI,NL,1969,645,745,63,0.312,0.372,0.241,0,,,162,,
PIT,NL,1969,725,652,88,0.334,0.398,0.277,0,,,162,,
SDP,NL,1969,468,746,52,0.285,0.329,0.225,0,,,162,,
SEP,AL,1969,639,799,64,0.316,0.346,0.234,0,,,163,,
SFG,NL,1969,713,636,90,0.334,0.361,0.242,0,,,162,,
STL,NL,1969,595,540,87,0.316,0.359,0.253,0,,,162,,
WSA,AL,1969,694,644,86,0.33,0.378,0.251,0,,,162,,
ATL,NL,1968,514,549,81,0.307,0.339,0.252,0,,,163,,
BAL,AL,1968,579,497,91,0.304,0.352,0.225,0,,,162,,
BOS,AL,1968,614,611,86,0.313,0.352,0.236,0,,,162,,
CAL,AL,1968,498,615,67,0.291,0.318,0.227,0,,,162,,
CHC,NL,1968,612,611,84,0.298,0.366,0.242,0,,,163,,
CHW,AL,1968,463,527,67,0.284,0.311,0.228,0,,,162,,
CIN,NL,1968,690,673,83,0.32,0.389,0.273,0,,,163,,
CLE,AL,1968,516,504,86,0.293,0.327,0.234,0,,,162,,
DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1,1,164,,
HOU,NL,1968,510,588,72,0.298,0.317,0.231,0,,,162,,
LAD,NL,1968,470,509,76,0.289,0.319,0.23,0,,,162,,
MIN,AL,1968,562,546,79,0.299,0.35,0.237,0,,,162,,
NYM,NL,1968,473,499,73,0.281,0.315,0.228,0,,,163,,
NYY,AL,1968,536,531,83,0.292,0.318,0.214,0,,,164,,
OAK,AL,1968,569,544,82,0.304,0.343,0.24,0,,,163,,
PHI,NL,1968,543,615,76,0.294,0.333,0.233,0,,,162,,
PIT,NL,1968,583,532,80,0.306,0.343,0.252,0,,,163,,
SFG,NL,1968,599,529,88,0.307,0.341,0.239,0,,,163,,
STL,NL,1968,583,472,97,0.298,0.346,0.249,1,2,2,162,,
WSA,AL,1968,524,665,65,0.287,0.336,0.224,0,,,161,,
ATL,NL,1967,631,640,77,0.307,0.372,0.24,0,,,162,,
BAL,AL,1967,654,592,76,0.31,0.372,0.24,0,,,161,,
BOS,AL,1967,722,614,92,0.321,0.395,0.255,1,2,2,162,,
CAL,AL,1967,567,587,84,0.301,0.349,0.238,0,,,161,,
CHC,NL,1967,702,624,87,0.316,0.378,0.251,0,,,162,,
CHW,AL,1967,531,491,89,0.291,0.32,0.225,0,,,162,,
CIN,NL,1967,604,563,87,0.297,0.372,0.248,0,,,162,,
CLE,AL,1967,559,613,75,0.293,0.359,0.235,0,,,162,,
DET,AL,1967,683,587,91,0.325,0.376,0.243,0,,,163,,
HOU,NL,1967,626,742,69,0.317,0.364,0.249,0,,,162,,
KCA,AL,1967,533,660,62,0.296,0.33,0.233,0,,,161,,
LAD,NL,1967,519,595,73,0.301,0.332,0.236,0,,,162,,
MIN,AL,1967,671,590,91,0.309,0.369,0.24,0,,,164,,
NYM,NL,1967,498,672,61,0.288,0.325,0.238,0,,,162,,
NYY,AL,1967,522,621,72,0.296,0.317,0.225,0,,,163,,
PHI,NL,1967,612,581,82,0.313,0.357,0.242,0,,,162,,
PIT,NL,1967,679,693,81,0.324,0.38,0.277,0,,,163,,
SFG,NL,1967,652,551,91,0.313,0.372,0.245,0,,,162,,
STL,NL,1967,695,557,101,0.32,0.379,0.263,1,1,1,161,,
WSA,AL,1967,550,637,76,0.288,0.326,0.223,0,,,161,,
ATL,NL,1966,782,683,85,0.326,0.424,0.263,0,,,163,,
BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1,1,160,,
BOS,AL,1966,655,731,72,0.31,0.376,0.24,0,,,162,,
CAL,AL,1966,604,643,80,0.303,0.354,0.232,0,,,162,,
CHC,NL,1966,644,809,59,0.313,0.38,0.254,0,,,162,,
CHW,AL,1966,574,517,83,0.297,0.331,0.231,0,,,163,,
CIN,NL,1966,692,702,76,0.309,0.395,0.26,0,,,160,,
CLE,AL,1966,574,586,81,0.297,0.36,0.237,0,,,162,,
DET,AL,1966,719,698,88,0.321,0.406,0.251,0,,,162,,
HOU,NL,1966,612,695,72,0.318,0.365,0.255,0,,,163,,
KCA,AL,1966,564,648,74,0.294,0.337,0.236,0,,,160,,
LAD,NL,1966,606,490,95,0.314,0.362,0.256,1,2,2,162,,
MIN,AL,1966,663,581,89,0.316,0.382,0.249,0,,,162,,
NYM,NL,1966,587,761,66,0.301,0.342,0.239,0,,,161,,
NYY,AL,1966,611,612,70,0.299,0.374,0.235,0,,,160,,
PHI,NL,1966,696,640,87,0.322,0.378,0.258,0,,,162,,
PIT,NL,1966,759,641,92,0.329,0.428,0.279,0,,,162,,
SFG,NL,1966,675,626,93,0.303,0.392,0.248,0,,,161,,
STL,NL,1966,571,577,83,0.298,0.368,0.251,0,,,162,,
WSA,AL,1966,557,659,71,0.295,0.355,0.234,0,,,159,,
BAL,AL,1965,641,578,94,0.307,0.363,0.238,0,,,162,,
BOS,AL,1965,669,791,62,0.327,0.4,0.251,0,,,162,,
CAL,AL,1965,527,569,75,0.297,0.341,0.239,0,,,162,,
CHC,NL,1965,635,723,72,0.307,0.358,0.238,0,,,164,,
CHW,AL,1965,647,555,95,0.315,0.364,0.246,0,,,162,,
CIN,NL,1965,825,704,89,0.339,0.439,0.273,0,,,162,,
CLE,AL,1965,663,613,87,0.315,0.379,0.25,0,,,162,,
DET,AL,1965,680,602,89,0.312,0.374,0.238,0,,,162,,
HOU,NL,1965,569,711,65,0.305,0.34,0.237,0,,,162,,
KCA,AL,1965,585,755,59,0.309,0.358,0.24,0,,,162,,
LAD,NL,1965,608,521,97,0.312,0.335,0.245,1,2,1,162,,
MIN,AL,1965,774,600,102,0.324,0.399,0.254,1,1,2,162,,
MLN,NL,1965,708,633,86,0.31,0.416,0.256,0,,,162,,
NYM,NL,1965,495,752,50,0.277,0.327,0.221,0,,,164,,
NYY,AL,1965,611,604,77,0.299,0.364,0.235,0,,,162,,
PHI,NL,1965,654,667,85,0.313,0.384,0.25,0,,,162,,
PIT,NL,1965,675,580,90,0.317,0.382,0.265,0,,,163,,
SFG,NL,1965,682,593,95,0.313,0.385,0.252,0,,,163,,
STL,NL,1965,707,674,80,0.314,0.371,0.254,0,,,162,,
WSA,AL,1965,591,721,70,0.304,0.35,0.228,0,,,162,,
BAL,AL,1964,679,567,97,0.316,0.387,0.248,0,,,163,,
BOS,AL,1964,688,793,72,0.322,0.416,0.258,0,,,162,,
CHC,NL,1964,649,724,76,0.314,0.39,0.251,0,,,162,,
CHW,AL,1964,642,501,98,0.32,0.353,0.247,0,,,162,,
CIN,NL,1964,660,566,92,0.308,0.372,0.249,0,,,163,,
CLE,AL,1964,689,693,79,0.312,0.38,0.247,0,,,164,,
DET,AL,1964,699,678,85,0.319,0.395,0.253,0,,,163,,
HOU,NL,1964,495,628,66,0.285,0.315,0.229,0,,,162,,
KCA,AL,1964,621,836,57,0.311,0.379,0.239,0,,,163,,
LAA,AL,1964,544,551,82,0.304,0.344,0.242,0,,,162,,
LAD,NL,1964,614,572,80,0.305,0.34,0.25,0,,,164,,
MIN,AL,1964,737,678,79,0.322,0.427,0.252,0,,,163,,
MLN,NL,1964,803,744,88,0.333,0.418,0.272,0,,,162,,
NYM,NL,1964,569,776,53,0.296,0.348,0.246,0,,,163,,
NYY,AL,1964,730,577,99,0.317,0.387,0.253,1,1,2,164,,
PHI,NL,1964,693,632,92,0.315,0.391,0.258,0,,,162,,
PIT,NL,1964,663,636,80,0.315,0.389,0.264,0,,,162,,
SFG,NL,1964,656,587,90,0.31,0.382,0.246,0,,,162,,
STL,NL,1964,715,652,93,0.324,0.392,0.272,1,2,1,162,,
WSA,AL,1964,578,733,62,0.299,0.348,0.231,0,,,162,,
BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,,
BOS,AL,1963,666,704,76,0.312,0.4,0.252,0,,,161,,
CHC,NL,1963,570,578,82,0.297,0.363,0.238,0,,,162,,
CHW,AL,1963,683,544,94,0.323,0.365,0.25,0,,,162,,
CIN,NL,1963,648,594,86,0.31,0.371,0.246,0,,,162,,
CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,,
DET,AL,1963,700,703,79,0.327,0.382,0.252,0,,,162,,
HOU,NL,1963,464,640,66,0.283,0.301,0.22,0,,,162,,
KCA,AL,1963,615,704,73,0.313,0.353,0.247,0,,,162,,
LAA,AL,1963,597,660,70,0.309,0.354,0.25,0,,,161,,
LAD,NL,1963,640,550,99,0.309,0.357,0.251,1,2,1,163,,
MIN,AL,1963,767,602,91,0.325,0.43,0.255,0,,,161,,
MLN,NL,1963,677,603,84,0.312,0.37,0.244,0,,,163,,
NYM,NL,1963,501,774,51,0.285,0.315,0.219,0,,,162,,
NYY,AL,1963,714,547,104,0.309,0.403,0.252,1,1,2,161,,
PHI,NL,1963,642,578,87,0.306,0.381,0.252,0,,,162,,
PIT,NL,1963,567,595,74,0.309,0.359,0.25,0,,,162,,
SFG,NL,1963,725,641,88,0.316,0.414,0.258,0,,,162,,
STL,NL,1963,747,628,93,0.326,0.403,0.271,0,,,162,,
WSA,AL,1963,578,812,56,0.293,0.351,0.227,0,,,162,,
BAL,AL,1962,652,680,77,0.314,0.387,0.248,0,,,162,,
BOS,AL,1962,707,756,76,0.324,0.403,0.258,0,,,160,,
CHC,NL,1962,632,827,59,0.317,0.377,0.253,0,,,162,,
CHW,AL,1962,707,658,85,0.334,0.372,0.257,0,,,162,,
CIN,NL,1962,802,685,98,0.332,0.417,0.27,0,,,162,,
CLE,AL,1962,682,745,80,0.312,0.388,0.245,0,,,162,,
DET,AL,1962,758,692,85,0.33,0.411,0.248,0,,,161,,
HOU,NL,1962,592,717,64,0.31,0.351,0.246,0,,,162,,
KCA,AL,1962,745,837,72,0.332,0.386,0.263,0,,,162,,
LAA,AL,1962,718,706,86,0.325,0.38,0.25,0,,,162,,
LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,,
MIN,AL,1962,798,713,91,0.338,0.412,0.26,0,,,163,,
MLN,NL,1962,730,665,86,0.326,0.403,0.252,0,,,162,,
NYM,NL,1962,617,948,40,0.318,0.361,0.24,0,,,161,,
NYY,AL,1962,817,680,96,0.337,0.426,0.267,1,2,1,162,,
PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,,,161,,
PIT,NL,1962,706,626,93,0.321,0.394,0.268,0,,,161,,
SFG,NL,1962,878,690,103,0.341,0.441,0.278,1,1,2,165,,
STL,NL,1962,774,664,84,0.335,0.394,0.271,0,,,163,,
WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,,
